#,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,1,5.1,3.5,1.4,0.2,0
1,2,4.9,3.0,1.4,0.2,0
2,3,4.7,3.2,1.3,0.2,0
3,4,4.6,3.1,1.5,0.2,0
4,5,5.0,3.6,1.4,0.2,0
5,6,5.4,3.9,1.7,0.4,0
6,7,4.6,3.4,1.4,0.3,0
7,8,5.0,3.4,1.5,0.2,0
8,9,4.4,2.9,1.4,0.2,0
9,10,4.9,3.1,1.5,0.1,0
10,11,5.4,3.7,1.5,0.2,0
11,12,4.8,3.4,1.6,0.2,0
12,13,4.8,3.0,1.4,0.1,0
13,14,4.3,3.0,1.1,0.1,0
14,15,5.8,4.0,1.2,0.2,0
15,16,5.7,4.4,1.5,0.4,0
16,17,5.4,3.9,1.3,0.4,0
17,18,5.1,3.5,1.4,0.3,0
18,19,5.7,3.8,1.7,0.3,0
19,20,5.1,3.8,1.5,0.3,0
20,21,5.4,3.4,1.7,0.2,0
21,22,5.1,3.7,1.5,0.4,0
22,23,4.6,3.6,1.0,0.2,0
23,24,5.1,3.3,1.7,0.5,0
24,25,4.8,3.4,1.9,0.2,0
25,26,5.0,3.0,1.6,0.2,0
26,27,5.0,3.4,1.6,0.4,0
27,28,5.2,3.5,1.5,0.2,0
28,29,5.2,3.4,1.4,0.2,0
29,30,4.7,3.2,1.6,0.2,0
30,31,4.8,3.1,1.6,0.2,0
31,32,5.4,3.4,1.5,0.4,0
32,33,5.2,4.1,1.5,0.1,0
33,34,5.5,4.2,1.4,0.2,0
34,35,4.9,3.1,1.5,0.1,0
35,36,5.0,3.2,1.2,0.2,0
36,37,5.5,3.5,1.3,0.2,0
37,38,4.9,3.1,1.5,0.1,0
38,39,4.4,3.0,1.3,0.2,0
39,40,5.1,3.4,1.5,0.2,0
40,41,5.0,3.5,1.3,0.3,0
41,42,4.5,2.3,1.3,0.3,0
42,43,4.4,3.2,1.3,0.2,0
43,44,5.0,3.5,1.6,0.6,0
44,45,5.1,3.8,1.9,0.4,0
45,46,4.8,3.0,1.4,0.3,0
46,47,5.1,3.8,1.6,0.2,0
47,48,4.6,3.2,1.4,0.2,0
48,49,5.3,3.7,1.5,0.2,0
49,50,5.0,3.3,1.4,0.2,0
50,51,7.0,3.2,4.7,1.4,1
51,52,6.4,3.2,4.5,1.5,1
52,53,6.9,3.1,4.9,1.5,1
53,54,5.5,2.3,4.0,1.3,1
54,55,6.5,2.8,4.6,1.5,1
55,56,5.7,2.8,4.5,1.3,1
56,57,6.3,3.3,4.7,1.6,1
